mean_test_score,mean_fit_time,params,rank_test_scores,status,budgets,param_data_preprocessor:__choice__,param_feature_preprocessor:__choice__,param_regressor:__choice__,param_regressor:decision_tree:criterion,param_regressor:decision_tree:max_depth_factor,param_regressor:decision_tree:max_features,param_regressor:decision_tree:max_leaf_nodes,param_regressor:decision_tree:min_impurity_decrease,param_regressor:decision_tree:min_samples_leaf,param_regressor:decision_tree:min_samples_split,param_regressor:decision_tree:min_weight_fraction_leaf,param_regressor:extra_trees:bootstrap,param_regressor:extra_trees:criterion,param_regressor:extra_trees:max_depth,param_regressor:extra_trees:max_features,param_regressor:extra_trees:max_leaf_nodes,param_regressor:extra_trees:min_impurity_decrease,param_regressor:extra_trees:min_samples_leaf,param_regressor:extra_trees:min_samples_split,param_regressor:extra_trees:min_weight_fraction_leaf,param_regressor:gaussian_process:alpha,param_regressor:gaussian_process:thetaL,param_regressor:gaussian_process:thetaU,param_regressor:k_nearest_neighbors:n_neighbors,param_regressor:k_nearest_neighbors:p,param_regressor:k_nearest_neighbors:weights,param_regressor:random_forest:bootstrap,param_regressor:random_forest:criterion,param_regressor:random_forest:max_depth,param_regressor:random_forest:max_features,param_regressor:random_forest:max_leaf_nodes,param_regressor:random_forest:min_impurity_decrease,param_regressor:random_forest:min_samples_leaf,param_regressor:random_forest:min_samples_split,param_regressor:random_forest:min_weight_fraction_leaf,Experiment
2.131076051,0.986965418,"{'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'regressor:__choice__': 'random_forest', 'regressor:random_forest:bootstrap': 'True', 'regressor:random_forest:criterion': 'mse', 'regressor:random_forest:max_depth': 'None', 'regressor:random_forest:max_features': 0.4365793298090457, 'regressor:random_forest:max_leaf_nodes': 'None', 'regressor:random_forest:min_impurity_decrease': 0.0, 'regressor:random_forest:min_samples_leaf': 11, 'regressor:random_forest:min_samples_split': 8, 'regressor:random_forest:min_weight_fraction_leaf': 0.0}",48,Success,0,NoPreprocessing,no_preprocessing,random_forest,,,,,,,,,,,,,,,,,,,,,,,,TRUE,mse,None,0.43657933,None,0,11,8,0,0
2.310553038,0.490317345,"{'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'regressor:__choice__': 'decision_tree', 'regressor:decision_tree:criterion': 'mse', 'regressor:decision_tree:max_depth_factor': 0.282081473312884, 'regressor:decision_tree:max_features': 1.0, 'regressor:decision_tree:max_leaf_nodes': 'None', 'regressor:decision_tree:min_impurity_decrease': 0.0, 'regressor:decision_tree:min_samples_leaf': 14, 'regressor:decision_tree:min_samples_split': 18, 'regressor:decision_tree:min_weight_fraction_leaf': 0.0}",52,Success,0,NoPreprocessing,no_preprocessing,decision_tree,mse,0.282081473,1,None,0,14,18,0,,,,,,,,,,,,,,,,,,,,,,,,,0
2.069784838,1.5868783,"{'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'regressor:__choice__': 'random_forest', 'regressor:random_forest:bootstrap': 'True', 'regressor:random_forest:criterion': 'mae', 'regressor:random_forest:max_depth': 'None', 'regressor:random_forest:max_features': 0.6851571686033259, 'regressor:random_forest:max_leaf_nodes': 'None', 'regressor:random_forest:min_impurity_decrease': 0.0, 'regressor:random_forest:min_samples_leaf': 17, 'regressor:random_forest:min_samples_split': 10, 'regressor:random_forest:min_weight_fraction_leaf': 0.0}",35,Success,0,NoPreprocessing,no_preprocessing,random_forest,,,,,,,,,,,,,,,,,,,,,,,,TRUE,mae,None,0.685157169,None,0,17,10,0,0
2.100910746,0.588194132,"{'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'regressor:__choice__': 'k_nearest_neighbors', 'regressor:k_nearest_neighbors:n_neighbors': 1, 'regressor:k_nearest_neighbors:p': 2, 'regressor:k_nearest_neighbors:weights': 'distance'}",41,Success,0,NoPreprocessing,no_preprocessing,k_nearest_neighbors,,,,,,,,,,,,,,,,,,,,,1,2,distance,,,,,,,,,,0
2.025749741,0.759101152,"{'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'regressor:__choice__': 'gaussian_process', 'regressor:gaussian_process:alpha': 1.4678667676079853e-12, 'regressor:gaussian_process:thetaL': 1.1480474217786936e-08, 'regressor:gaussian_process:thetaU': 4386.28283779805}",24,Success,0,NoPreprocessing,no_preprocessing,gaussian_process,,,,,,,,,,,,,,,,,,1.47E-12,1.15E-08,4386.282838,,,,,,,,,,,,,0
2.046222147,0.536171198,"{'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'regressor:__choice__': 'k_nearest_neighbors', 'regressor:k_nearest_neighbors:n_neighbors': 16, 'regressor:k_nearest_neighbors:p': 2, 'regressor:k_nearest_neighbors:weights': 'uniform'}",29,Success,0,NoPreprocessing,no_preprocessing,k_nearest_neighbors,,,,,,,,,,,,,,,,,,,,,16,2,uniform,,,,,,,,,,0
2.08855251,0.532571316,"{'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'regressor:__choice__': 'k_nearest_neighbors', 'regressor:k_nearest_neighbors:n_neighbors': 44, 'regressor:k_nearest_neighbors:p': 1, 'regressor:k_nearest_neighbors:weights': 'uniform'}",37,Success,0,NoPreprocessing,no_preprocessing,k_nearest_neighbors,,,,,,,,,,,,,,,,,,,,,44,1,uniform,,,,,,,,,,0
2.100910746,0.500362873,"{'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'regressor:__choice__': 'k_nearest_neighbors', 'regressor:k_nearest_neighbors:n_neighbors': 1, 'regressor:k_nearest_neighbors:p': 2, 'regressor:k_nearest_neighbors:weights': 'uniform'}",41,Success,0,NoPreprocessing,no_preprocessing,k_nearest_neighbors,,,,,,,,,,,,,,,,,,,,,1,2,uniform,,,,,,,,,,0
1,0.328597069,"{'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'regressor:__choice__': 'k_nearest_neighbors', 'regressor:k_nearest_neighbors:n_neighbors': 70, 'regressor:k_nearest_neighbors:p': 2, 'regressor:k_nearest_neighbors:weights': 'uniform'}",1,Crash,0,NoPreprocessing,no_preprocessing,k_nearest_neighbors,,,,,,,,,,,,,,,,,,,,,70,2,uniform,,,,,,,,,,0
2.100255378,2.424529314,"{'data_preprocessor:__choice__': 'NoPreprocessing', 'feature_preprocessor:__choice__': 'no_preprocessing', 'regressor:__choice__': 'random_forest', 'regressor:random_forest:bootstrap': 'True', 'regressor:random_forest:criterion': 'mae', 'regressor:random_forest:max_depth': 'None', 'regressor:random_forest:max_features': 0.7902996766456428, 'regressor:random_forest:max_leaf_nodes': 'None', 'regressor:random_forest:min_impurity_decrease': 0.0, 'regressor:random_forest:min_samples_leaf': 7, 'regressor:random_forest:min_samples_split': 2, 'regressor:random_forest:min_weight_fraction_leaf': 0.0}",40,Success,0,NoPreprocessing,no_preprocessing,random_forest,,,,,,,,,,,,,,,,,,,,,,,,TRUE,mae,None,0.790299677,None,0,7,2,0,0
